Barcode,Description ,Price,Remarks,
8906013645042,Jagdish - Plain Khakhra 200g,$2.49,,
8906013641358,Jagdish - Mini Bhakarwadi 200g,$1.99,,
8906013640580,Jagdish - Madhuvan Mix 200g,$1.99,,
817602013037,Veer - Sesame Oil 1 liter,$6.99,,
8901595853908,Ching's - Just Soak Chowmein 140g,$1.99,,
8904085905422,Ambika - Cut Mango Pickle 300g,$1.99,,
8904085905415,Ambika - CItron Pickle 300g,$1.99,,
8904085905392,Ambika - Mango Thokku Pickle 300g,$1.99,,
8904085905316,Ambika - Green Chilli Pickle 300g,$1.99,,
8904085905347,Ambika - Garlic Pickle 300g,$1.99,,
840965002721,MTR - Badam Drink Value Pack ,$5.99,,
20253600000,Soya Vadi,,Add Zero In Front,Warehouse Generated Code
840033812436,Veer - Organic Carom Seeds 1lb,$4.49,,
840033814225,Veer - Organic Garlic Powder 14oz,$3.49,,
8082637224334,Chappan Bhog - Vara Ni Dal Masala 100g,$1.99,,
20013600000,Frozen Cut Corn,,Warehouse Generated Code,Add 0 in Front
8906013645127,Jagdish - Chilli Coriander Khakhra 200g,$2.49,,
8904304716631,Shasta - Puffed Wheat Cereal 200g,$2.99,,
817602028680,NIB - Khara Kaddi,$5.49,,
8901262200196,Amul Masti - Spiced Buttermilk Drink 200ml,$1.49,,
8901262151917,Amul - Kadhai Doodh 200ml,$1.99,,
8901262151344,Amul - Badam Shakers 200ml,$1.99,,
8901738910307,Veer - Clay Red Karva 300ml,$7.99,Taxable,
8901738910314,Veer - Clay Red Karva Painted 300ml,$9.99,Taxable,
8901738910079,Veer - Black Clay Cooking Pot With Lid,$29.99,Taxable,
8901738910116,Veer - Red Clay Pot With Lid 1.25 LTR,$14.99,Taxable,
8901738910277,Veer - Clay Lota 500ml,$8.99,Taxable,
627374100312,NIB - Cashew Split 28oz,$8.99,,
817602023418,Veer - Kala Chana 7lb,$10.99,,
8901738203416,Laxmi Ganesh Waxed Diya,$8.99,Taxable,
850026379068,Shasta - Uthappam Batter 30oz,$6.99,,
8901152011963,Ashoka - Coconut Shreds 11oz,$1.99,,
8901152011949,Ashoka - Val Lilva 11oz,$1.99,,
8901552007788,Ashoka - Surti Undhiu 11oz,$1.99,,
8901552023719,Ashoka - Jumbo Punjabi Samosa 25pcs,$11.99,,
8901552016025,Ashoka - Phulka Roti 24pcs,$2.99,,
761720071328,Argo - Corn Starch 1lb,$3.69,,
8901738751344,Veer - Fancy Pooja Plate Special,$12.99,Taxable,
8906065030964,Karachi Bakery - Kaju Badam Cookies 400g,$4.99,,
8906048274538,Gopuram - Kasthuri Turmeric Powder 40g,$1.99,Taxable,
8906065030186,Karachi Bakery - Jeera Biscuits 400g,$4.99,,
8906065032654,Karachi Bakery - Chai Biscuits 400g,$4.99,,
8906065032319,Karachi Bakery - Dry Fruit Biscuits 400g,$4.99,,
829426704259,Veer - Cumin Powder 14oz,$5.49,,
8906000936634,Veer - Mung Whole Jar 3.63lb,$4.99,,
8906000936641,Veer - Udad Dal Jar 3.63lb,$4.99,,
