Barcode,Description ,Price,,,Remarks
8904063259264,Haldirams Veg Shami Kebab 10.6 Oz,$4.99,,,
8901777339084,Vadilal Vegetable pulav 10 Oz,$3.49,,,
11433150484,Deep Onion Uttapam 12.5 Oz,$2.79,,,Front - 0
856904002288,Verka punjabi dahi bhalle 350gm,$4.49,,,
8904063255013,Haldirams Purani Dilli Special samosa 23 Oz,$7.99,,,
8904063252814,Haldirams punjabi samosa 3 Lb,$11.49,,,
8904063210456,Haldirams fresh paneer 2 Lb,$14.99,,,
8904063253941,Haldiram fresh paneer 12.69 Oz,$6.99,,,
8901777502068,Vadilal malai paneer block 200gm,$3.49,,,
8901777971970,Vadilal cassatta ice cream 120ml,$4.49,,,
8901777986974,Vadilal cassatta ice cream 120ml chocolate,$4.49,,,
8901777888995,Vadilal mango dolly 60ml,$1.99,,,
8901777970997,Vadilal chocobar 70ml,$1.99,,,
43717459501,Indo european puff pastry 22 Oz,$4.49,,,Front - 0
9556587211229,Kawan puff pastry square 40gm 10pcs,$3.99,,,
11433118866,Deep Spinach paneer samosas 22.4 Oz,$7.99,,,Front - 0
11433117999,Deep veggie masala burger 10 Oz,$3.49,,,Front - 0
8901777983973,Vadilal fling king cone Butterscotch 110m,$2.49,,,
8901777974032,Vadilala kulfi malai 80ml,$2.99,,,
11433118590,Deep pakora spinach 10 Oz,$2.99,,,Front - 0
8901777511169,Vadilal Alphonso mango shrikhand 16 Oz,$5.99,,,
68656010071,Surati mango shrikhand 14 Oz,$4.99,,,FRON 0
8901777869031,Vadilal meva malai kulfi 80ml ,$2.49,,,
11433118330,Mirch masala dal puri 15 Oz,$2.49,,,Front - 0
878776002357,Anand Idli with sambar 16 Oz,$2.99,,,
11433118606,Deep pakora onion 10 Oz,$2.99,,,Front - 0
8904063205063,Haldirams Oats idli 10 Oz,$2.49,,,
8904063259301,Haldirams Masala idli 9 Oz,$3.99,,,
8904063209771,Haldirams Khatta dhokla 10 Oz,$2.99,,,
8904063256805,Haldirams Idli 10 Oz,$3.99,,,
829426706651,Veer Wheat Long Mamra 400gm,$2.99,,,
840033815673,Veer Puffed Corn 284gm,$1.49,,,
829426704206,Veer Mamra 454gm 1lb,$3.49,,,
817602026556,Veer Corn Flakes 400gm,$1.89,,,
817602015055,Veer Mamra Kolhapuri 400 gm,$0.99,,,
829426704794,Veer Poha Thin     4Lb,$5.99,,,
817602021865,Veer Poha Thick.  4Lb,$5.99,,,
8594030068946,Veer Poha             2Lb,$3.49,,,
817602021926,Veer Poha Thin     2Lb,$2.99,,,
829426703261,Veer Phool Makhana 200gm,$5.99,,,
840033808163,Veer Organic rice poha thick 1Lb,$2.99,,,
79000000,Shastha foods roasted poha 400gm,$2.49,,,Front -0000
8901738850603,Shastha foods Poha Red Thick 2Lb,$3.99,,,
81393006312,Chettinand Ragi Poha 2Lb,$6.99,,,FRONT 0
856408005044,Parachute Coconut Oil       1.86Ltrs,$12.99,,,
8901088043953,Parachute Coconut Oil       1Ltrs,$6.99,,,
8901088000451,Parachute Coconut Oil       500ml,$3.79,,,
8901088000345,Parachute Coconut Oil       200ml,$1.99,,,
856408005235,Parachute Organic Virgin Coconut Oil 200ml,$3.99,,,
8906002660537,KLF Coconad Coconut Oil 456gm,$2.99,,,
5013635101887,KTC Pure Coconut Oil       250ml,$2.99,,,
840033809429,Vrudhi Extra Virgin Coconut Oil 500ml,$9.99,,,
73210000092,Star Original Olive Oil        500ml,$9.59,,,Front - 0
73210000085,Star Original Olive Oil        250ml,$5.39,,,Front - 0
8410125246337,Figaro Olive oil                  200ml,$5.99,,,
8410125609477,Figaro Olive oil                  1ltrs,$18.99,,,
691027524855,Happy Leaf Organic Mustard Oil  740ml,$9.99,,,
840033809351,Vrudhi Peanut Oil              5ltr,$28.99,,,
840033809337,Vrudhi Peanut Oil             1ltr,$6.99,,,
840033809337,Vrudhi Groundnut Oil       1ltr,$6.99,,,
840033809290,Vrudhi Sesame Oil.          2ltr,$9.99,,,
5013635482504,KTC Pure almond oil       500ml,$8.29,,,
5013635482054,KTC Pure Mustard Oil     500ml ,$3.99,,,
5013635482252,KTC Pure Mustard Oil     250ml,$2.99,,,
5013635482566,KTC Pure Mustard Oil     750ml,$5.49,,,
8904304389989,Shastha foods Sesame Oil 1ltr,$6.99,,,
8904304389996,Shastha foods Peanut oil    1ltr,$9.99,,,
8901207046599,Dabur Mustard Oil           1ltr,$5.99,,,
8901207006883,Dabur Sesame Oil.         500ml,$5.99,,,
8901207022128,Dabur Mustard Oil          2.75ltrs,$11.99,,,
8901207013461,Dabur Mustard Oil          5ltrs,$23.99,,,
8901207023606,Dabur Sesame Oil          2.75ltrs,$20.99,,,
642583000864,Di Buon Gusto Org Extra Virgin Olive Oil    1ltr,$13.99,,,
8904109463730,Patanjali Groundnut Oil  1ltr,$6.99,,,
8904001800237,Idhyam Sesame Oil        1ltr,$6.99,,,
8904085902391,Ambika Gingelly Oil        2ltrs,$12.99,,,
145786000018,Hans Flax seed oil          450ml,$6.49,,,
145786000032,Hans Castor oil               250ml ,$3.99,,,
817602013044,Veer Sesame Oil            2ltrs,$9.99,,,
840033812726,Veer Organic Coconut Oil    1ltr,$9.99,,,
840033812719,Veer Organic Sunflower Oil                       1ltr,$4.99,,,
817602013044,Veer Original Mara Chekku Sesame oil    1ltr,$9.99,,,
840033812702,Veer Organic Groundnut Oil                      1ltr,$11.99,,,
813930015156,A1 Groundnut Oil           5ltrs,$34.99,,,
8682032002096,BRIO Sunflower Oil       2ltrs,$9.99,,,
29000078277,Planters Peanut Oil       709ml,$6.29,,,Front - 0
761720987506,Mazola canola oil          1.18ltrs ,$7.39,,,
8901207036590,Dabur Mustard oil         250ml,$2.99,,,
761720987490,Mazola Corn Oil 1.18Ltrs,$7.39,,,
761720987513,Mazola Vegetable Plus 1.18ltrs,$7.39,,,
8901207023606,Ganga kaveri Gingelly Oil 2ltrs,$20.99,,,
8904109463754,Patanjali Mustard Oil     5ltrs,$19.99,,,
723246287997,Laxmi Cold Pressed Peanut Oil 5ltrs,$29.99,,,
723246101170,Laxmi Corn Oil              2.84ltrs,$12.99,,,
723246270036,Laxmi Pure Vegetable Soybean Oil  2.84ltrs,$10.99,,,
723246270029,Laxmi Peanut Oil          2.84ltrs,$12.99,,,
26700127953,Chef's Pride Corn Oil                  1GAL,$12.99,,,Front - 0
26700127939,Chef's Pride Soybean Salad Oil 1GAL,$12.99,,,Front - 0
26700135385,Saffola Sunflower Oil                  1GAL,$21.99,,,Front - 0
96619893409,Kirkland Vegetable Oil                1.25GAL,$12.99,,,Front - 0
96619710102,Kirkland Canola Oil                     1.25GAL,$14.99,,,Front - 0
8906004620188,Dhara Futured Groundnut Oil     5ltrs,$18.99,,,
8902089010067,Tez mustard oil                           1ltr,$5.99,,,
8906004620263,Dhara Kachi Ghani Mustard Oil  1ltr,$6.99,,,
8710898313091,Organic yummies cookies 175g,$3.99,,,
8724200100118,De ruiter cookies 400g,$2.99,,,
8710898312827,8 stroopwafels cookie 250g,$3.49,,,
65627019712,Dutch speculaas cookies 250g,$2.99,,,
8901063165694,Britannia nutri choice cookies 450g,$3.99,,,
795130024124,Gullon digestive classic cookie 400g,$2.49,,,
795130041756,Gullon sugarfree chocolate wafer 180g,$2.99,,,
5000396001136,Mcvities bourbon creams 200g,$2.29,,,
795130041916,Gullon chocolate creme sandwich cookies 250g,$2.99,,,
795130022601,Gullon sugarfree social biscuits 170g,$2.49,,,
795130000128,Gullon maria biscuits 170g,$2.99,,,
795130024124,Gullon digestive classic cookies 400g,$2.49,,,
5000168108643,Mcvities rich tea biscuit 300g,$1.99,,,
795130024179,Gullon sugarfree shortbread cookies 330g,$3.49,,,
795130022588,Gullon sugarfree maria cookies 400g,$2.99,,,
795130026081,Gullon sugarfree digestive cookies 400g,$2.99,,,
795130008186,Gullon sugarfree maria biscuits 200g,$2.49,,,
8901063151024,Britannia digestive original biscuits 400g,$2.99,,,
59290312126,Mcvities digestives milk chocolate cookie 300g,$3.49,,,Front-0
59290311860,Mcvities digestive dark chocolate cookie 300g,$3.99,,,Front-0
5000168194189,Mcvities digestive milk chocolate cookies 266g,$3.99,,,
7622210988034,LU petit beurre cookie 200g,$3.49,,,
795130027637,Gullon tea&coffee cookie 800g,$3.99,,,
59290311877,Mcvities digestive original cookies 400g,$2.99,,,Front 0
5000396050967,Mcvities digestive caramel cookie 250g,$3.99,,,
685450116695,Parle hide&seek butter 200g,$1.79,,,
685450116701,Parle hide&seek cashew butter 200g,$1.79,,,
8901063151505,Britannia milk bikis cream cookie 100g,$0.89,,,
6291007905359,Britannia milk bikis biscuits family pack 540g,$2.99,,,
8901063136311,Britannia bourbon cookie 97g,$0.89,,,
8901063136328,Britannia bourbon cookie 196g,$1.99,,,
723246283319,Parle hide&seek chocolate chip cookie 247.5g,$2.49,,,
723246310114,Parle hide&seek fab orange 112g,$0.99,,,
723246310121,Parle hide&seek fab vanilla 112g,$0.99,,,
723246310138,Parle hide&seek fab strawberry 112g,$0.99,,,
723246310145,Parle hide&seek fab chocolate 112g,$0.99,,,
723246222332,Parle hide&seek chocolate chip cookie 82.5g,$0.79,,,
723246286945,Parle hide&seek fab chocolate 400g,$3.99,,,
723246286976,Parle hide&seek fab strawberry 400g,$3.99,,,
685450117203,Parle hide&seek black bourbon vanilla cookie 300g,$3.99,,,
685450116763,Parle hide&seek black bourbon choco 300g,$3.99,,,
44000006808,Oreo mini cookies 85g,$0.99,,,
44000032029,Oreo chocolate sandwich cookies 405g,$5.59,,,
723246294766,Parle kreams gold orange 66.72g,$0.49,,,
723246294780,Parle kreams gold chocolate 66.72g,$0.49,,,
723246294773,Parle kreams gold pineapple 66.72g,$0.49,,,
723246286891,Parle kreams gold lemon 266.88g,$2.99,,,
723246286914,Parle kreams gold banana 266.88g,$2.99,,,
723246286853,Parle kreams gold chocolate 266.88g,$2.99,,,
723246286860,Parle kreams gold orange 266.88g,$2.99,,,
723246286877,Parle kreams gold pineapple 266.88g,$2.99,,,
723246286907,Parle kreams gold strawberry 266.88g,$2.99,,,
6291007910223,Britannia treat creme wafers strawberry 150g,$1.99,,,
6291007910209,Britannia treat creme wafers choco 150g,$1.99,,,
